id,name,branch,location
419,National University of Singapore,Electrical Engineering,Singapore
420,National University of Singapore,Civil Engineering,Singapore
421,Nanyang Technological University,Computer Science Engineering,Singapore
422,Nanyang Technological University,Computer Engineering,Singapore
423,Nanyang Technological University,Information Technology,Singapore
424,Nanyang Technological University,Electronics and Communications Engineering,Singapore
425,Nanyang Technological University,Mechanical Engineering,Singapore
426,Nanyang Technological University,Electrical Engineering,Singapore
427,Nanyang Technological University,Civil Engineering,Singapore
428,Singapore Management University,Computer Science Engineering,Singapore
429,Singapore Management University,Computer Engineering,Singapore
430,Singapore Management University,Information Technology,Singapore
431,Singapore Management University,Electronics and Communications Engineering,Singapore
432,Singapore Management University,Mechanical Engineering,Singapore
433,Singapore Management University,Electrical Engineering,Singapore
434,Singapore Management University,Civil Engineering,Singapore
435,Singapore University of Technology and Design,Computer Science Engineering,Singapore
436,Singapore University of Technology and Design,Computer Engineering,Singapore
437,Singapore University of Technology and Design,Information Technology,Singapore
438,Singapore University of Technology and Design,Electronics and Communications Engineering,Singapore
439,Singapore University of Technology and Design,Mechanical Engineering,Singapore
440,Singapore University of Technology and Design,Electrical Engineering,Singapore
441,Singapore University of Technology and Design,Civil Engineering,Singapore
442,Singapore Institute of Technology,Computer Science Engineering,Singapore
443,Singapore Institute of Technology,Computer Engineering,Singapore
444,Singapore Institute of Technology,Information Technology,Singapore
445,Singapore Institute of Technology,Electronics and Communications Engineering,Singapore
446,Singapore Institute of Technology,Mechanical Engineering,Singapore
447,Singapore Institute of Technology,Electrical Engineering,Singapore
448,Singapore Institute of Technology,Civil Engineering,Singapore
449,James Cook University Singapore,Computer Science Engineering,Singapore
450,James Cook University Singapore,Computer Engineering,Singapore
451,James Cook University Singapore,Information Technology,Singapore
452,James Cook University Singapore,Electronics and Communications Engineering,Singapore
453,James Cook University Singapore,Mechanical Engineering,Singapore
454,James Cook University Singapore,Electrical Engineering,Singapore
455,James Cook University Singapore,Civil Engineering,Singapore
456,Monash University Singapore,Computer Science Engineering,Singapore
457,Monash University Singapore,Computer Engineering,Singapore
458,Monash University Singapore,Information Technology,Singapore
459,Monash University Singapore,Electronics and Communications Engineering,Singapore
460,Monash University Singapore,Mechanical Engineering,Singapore
461,Monash University Singapore,Electrical Engineering,Singapore
462,Monash University Singapore,Civil Engineering,Singapore
463,University of Southampton Malaysia Campus,Computer Science Engineering,Singapore
464,University of Southampton Malaysia Campus,Computer Engineering,Singapore
465,University of Southampton Malaysia Campus,Information Technology,Singapore
466,University of Southampton Malaysia Campus,Electronics and Communications Engineering,Singapore
467,University of Southampton Malaysia Campus,Mechanical Engineering,Singapore
468,University of Southampton Malaysia Campus,Electrical Engineering,Singapore
469,University of Southampton Malaysia Campus,Civil Engineering,Singapore
470,Curtin University Singapore,Computer Science Engineering,Singapore
471,Curtin University Singapore,Computer Engineering,Singapore
472,Curtin University Singapore,Information Technology,Singapore
473,Curtin University Singapore,Electronics and Communications Engineering,Singapore
474,Curtin University Singapore,Mechanical Engineering,Singapore
475,Curtin University Singapore,Electrical Engineering,Singapore
476,Curtin University Singapore,Civil Engineering,Singapore
477,RMIT University Singapore,Computer Science Engineering,Singapore
